text,sentiment,labels
Steins;Gate,positive,2
Tetsuwan Birdy Decode,positive,2
Seto no Hanayome,positive,2
Shingeki no Kyojin: Kuinaki Sentaku,positive,2
Rurouni Kenshin: Meiji Kenkaku Romantan,negative,0
Air in Summer,positive,2
Magi: The Kingdom of Magic,positive,2
Diamond no Ace: Second Season,positive,2
Black★Rock Shooter (TV),negative,0
Kuroshitsuji II Specials,positive,2
Terra Formars,negative,0
Ouran Koukou Host Club,positive,2
Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,positive,2
Nee Summer!,positive,2
Hitsugi no Chaika: Avenging Battle,negative,0
Clannad Movie,positive,2
Metropolis,neutral,1
Hataraku Maou-sama!,negative,0
Fullmetal Alchemist,positive,2
xxxHOLiC Shunmuki,positive,2
Freezing Vibration Specials,positive,2
W: Wish,negative,0
No Game No Life,positive,2
Claymore,positive,2
Last Exile,positive,2
Kara no Kyoukai: Shuushou,negative,0
City Hunter,negative,0
Yuru Yuri,positive,2
Gosick,positive,2
Fuuun Ishin Dai☆Shogun,negative,0
C: The Money of Soul and Possibility Control,positive,2
Ranma ½,positive,2
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,negative,0
Fight Ippatsu! Juuden-chan!!,positive,2
Trinity Seven,negative,0
Colorful (Movie),positive,2
Sayonara Zetsubou Sensei,positive,2
Neon Genesis Evangelion,positive,2
30th Gundam Perfect Mission,positive,2
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",positive,2
Kurokami The Animation,positive,2
High School DxD BorN,positive,2
Final Fantasy: Unlimited,positive,2
One Piece: Romance Dawn Story,negative,0
Black Lagoon: The Second Barrage,positive,2
Kotoura-san,positive,2
Fullmetal Alchemist: The Conqueror of Shamballa,negative,0
Kämpfer,positive,2
Kuroshitsuji,positive,2
Servamp,negative,0
Mirai Nikki (TV),positive,2
Aldnoah.Zero 2nd Season,negative,0
Ansatsu Kyoushitsu,positive,2
Blade &amp; Soul,positive,2
Golden Boy,positive,2
Sword Art Online: Sword Art Offline - Extra Edition,positive,2
Nodame Cantabile Finale,positive,2
Ghost in the Shell,neutral,1
Gantz,positive,2
Summer Wars,positive,2
High School DxD,neutral,1
Ao no Exorcist Movie,positive,2
Danshi Koukousei no Nichijou,positive,2
Binbougami ga!,neutral,1
Bakemonogatari Recap,neutral,1
Ergo Proxy,neutral,1
Log Horizon,positive,2
Gunslinger Girl,positive,2
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,positive,2
Code Geass: Hangyaku no Lelouch,positive,2
Fullmetal Alchemist,positive,2
Ark IX,negative,0
Final Fantasy VII: Advent Children,negative,0
Log Horizon,negative,0
Tengen Toppa Gurren Lagann,positive,2
Hakushaku to Yousei Specials,positive,2
Gake no Ue no Ponyo,negative,0
Kaze no Stigma,positive,2
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,positive,2
Hotarubi no Mori e,negative,0
Prince of Tennis: Another Story - Messages From Past and Future,positive,2
Sankarea,positive,2
Sakasama no Patema,positive,2
Hidamari Sketch,positive,2
Young Black Jack,neutral,1
Shakugan no Shana II (Second),positive,2
Witch Craft Works,positive,2
Suzumiya Haruhi no Yuuutsu (2009),positive,2
Gensoumaden Saiyuuki,negative,0
Shirobako,positive,2
Zero no Tsukaima: Princesses no Rondo,neutral,1
Sword Art Online II,positive,2
Kurenai no Buta,positive,2
Servant x Service,positive,2
Recorder to Randoseru,negative,0
Nisekoi,positive,2
Tari Tari,negative,0
Vampire Knight,negative,0
Hotarubi no Mori e,positive,2
High School DxD,positive,2
Shingeki no Kyojin,positive,2
Kashimashi: Girl Meets Girl,neutral,1
Magic Knight Rayearth,positive,2
Hataraku Maou-sama!,positive,2
Super Seisyun Brothers,neutral,1
First Squad: The Moment of Truth,positive,2
Sasami: Mahou Shoujo Club,negative,0
Arakawa Under the Bridge,positive,2
Deadman Wonderland,positive,2
Tengen Toppa Gurren Lagann Movie: Lagann-hen,positive,2
Free!: Eternal Summer,negative,0
Fate/Zero,positive,2
Boku wa Tomodachi ga Sukunai Next,positive,2
Kore wa Zombie Desu ka? of the Dead,positive,2
Aldnoah.Zero,neutral,1
Pokemon: Maboroshi no Pokemon Lugia Bakutan,neutral,1
Druaga no Tou: The Aegis of Uruk,positive,2
Kami nomi zo Shiru Sekai,positive,2
Neon Genesis Evangelion: The End of Evangelion,positive,2
Highschool of the Dead,positive,2
Kuroshitsuji II Specials,negative,0
Kyoukai no Kanata,positive,2
Ansatsu Kyoushitsu (TV),positive,2
Seirei Tsukai no Blade Dance,positive,2
Kiss x Sis (TV),positive,2
Basilisk: Kouga Ninpou Chou,positive,2
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,positive,2
Hand Maid May Special,negative,0
Tengen Toppa Gurren Lagann Movie: Gurren-hen,positive,2
Hentai Ouji to Warawanai Neko.,positive,2
Kore wa Zombie Desu ka? OVA,positive,2
Full Moon wo Sagashite,positive,2
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,positive,2
Detective Conan Movie 16: The Eleventh Striker,positive,2
"Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.",neutral,1
Lupin III: Dead or Alive,negative,0
Air Gear,positive,2
Yuru Yuri Nachuyachumi!+,positive,2
Yu☆Gi☆Oh! Duel Monsters,negative,0
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,positive,2
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,positive,2
Ao no Exorcist,positive,2
Tales of the Abyss,positive,2
Senran Kagura,positive,2
Jormungand: Perfect Order,positive,2
Hataraku Maou-sama!,negative,0
Naruto,positive,2
Inu x Boku SS,positive,2
Berserk (2016),positive,2
Gosick,positive,2
Mobile Suit Gundam Seed Destiny,positive,2
Aria The Natural: Sono Futatabi Deaeru Kiseki ni...,positive,2
Kyoukai no Kanata,negative,0
D.C.: Da Capo,neutral,1
Lucky☆Star,positive,2
Death Note,positive,2
Machine-Doll wa Kizutsukanai,positive,2
Kämpfer für die Liebe,positive,2
Needless,negative,0
Dragon Ball,positive,2
Cowboy Bebop,positive,2
Shiki Specials,positive,2
Monogatari Series: Second Season,positive,2
Ramen Tenshi Pretty Menma,neutral,1
True Tears,positive,2
K: Return of Kings,neutral,1
Kaze no Stigma,positive,2
Gokudou-kun Manyuuki,positive,2
Higurashi no Naku Koro ni,positive,2
Death Note Rewrite,positive,2
Aoi Hana,positive,2
Rozen Maiden,positive,2
Toki wo Kakeru Shoujo,positive,2
School Rumble,positive,2
Bakuten Shoot Beyblade 2002,neutral,1
Zero no Tsukaima: Futatsuki no Kishi,negative,0
Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,neutral,1
Blood: The Last Vampire,negative,0
School Rumble Ichi Gakki Hoshuu,positive,2
Kiseijuu: Sei no Kakuritsu,positive,2
No Game No Life,positive,2
Fate/Prototype,positive,2
Naruto,neutral,1
Freezing Specials,negative,0
Akikan!,neutral,1
Arve Rezzle: Kikaijikake no Yousei-tachi,neutral,1
Gugure! Kokkuri-san,positive,2
Reikenzan: Hoshikuzu-tachi no Utage,neutral,1
Otome wa Boku ni Koishiteru,positive,2
Sukitte Ii na yo.,positive,2
Walkure Romanze,negative,0
Sakurasou no Pet na Kanojo,positive,2
Sukitte Ii na yo.,positive,2
Makai Senki Disgaea,positive,2
Koi to Senkyo to Chocolate,positive,2
Naruto: Shippuuden Movie 1,positive,2
Persona 4 the Animation,positive,2
Magikano,negative,0
Okane ga Nai,negative,0
Lucky☆Star: Original na Visual to Animation,positive,2
Momiji,negative,0
Mahouka Koukou no Rettousei,positive,2
Kurokami The Animation,positive,2
Air Gear,positive,2
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,negative,0
Angel Densetsu,neutral,1
School Rumble,negative,0
Ano Natsu de Matteru,positive,2
Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,positive,2
Naruto: Shippuuden Movie 2 - Kizuna,positive,2
Aldnoah.Zero,positive,2
Nazo no Kanojo X,positive,2
Zero no Tsukaima: Futatsuki no Kishi,negative,0
Love Stage!!,neutral,1
Full Metal Panic? Fumoffu,negative,0
Kara no Kyoukai 1: Fukan Fuukei,positive,2
Full Metal Panic? Fumoffu,positive,2
Blood+,positive,2
Angel Beats!,negative,0
Rosario to Vampire Capu2,negative,0
K-On!!,positive,2
"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",positive,2
Neon Genesis Evangelion,positive,2
Shakugan no Shana II (Second) Specials,positive,2
Highschool of the Dead,positive,2
Narue no Sekai,negative,0
Death Note,positive,2
Higurashi no Naku Koro ni,negative,0
Kaichou wa Maid-sama!,negative,0
School Rumble Ni Gakki,positive,2
Cowboy Bebop,positive,2
Highschool of the Dead,positive,2
Super Robot Taisen OG: Divine Wars,negative,0
Fate/stay night: Unlimited Blade Works 2nd Season,negative,0
Trigun,positive,2
Tonari no Seki-kun,neutral,1
Loveless Specials,negative,0
Fullmetal Alchemist,negative,0
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",positive,2
High School DxD New,positive,2
Angel Beats!,positive,2
Devil May Cry,positive,2
One Punch Man,positive,2
Mousou Dairinin,positive,2
Ginga Kikoutai Majestic Prince,positive,2
Inu x Boku SS Special,positive,2
D.N.Angel,negative,0
Seikoku no Dragonar,positive,2
Durarara!!,positive,2
Mitsudomoe,negative,0
Hanamonogatari,positive,2
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,positive,2
Date A Live II,positive,2
Death Note,positive,2
Skip Beat!,positive,2
Oruchuban Ebichu,positive,2
Robotics;Notes,positive,2
Kaichou wa Maid-sama!,negative,0
Maple Colors,negative,0
High School DxD,negative,0
Durarara!!,positive,2
Mahou Sensou,positive,2
Aishiteruze Baby★★,positive,2
R.O.D the TV,positive,2
Ouran Koukou Host Club,positive,2
Rosario to Vampire Capu2,positive,2
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,negative,0
Digimon Tamers,positive,2
Kurozuka,positive,2
Midori no Hibi,negative,0
Gungrave,positive,2
Shuffle!,positive,2
Kaichou wa Maid-sama!,positive,2
Miss Monochrome: The Animation - Soccer-hen,negative,0
Cowboy Bebop,positive,2
Chobits,positive,2
Mahou Shoujo Lyrical Nanoha A&#039;s,negative,0
Slayers Next,positive,2
Sakurasou no Pet na Kanojo,positive,2
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,negative,0
Toaru Kagaku no Railgun S,positive,2
Tonari no Kaibutsu-kun,positive,2
Mobile Suit Gundam Seed C.E.73: Stargazer,neutral,1
Kuroko no Basket: Oshaberi Shiyokka,negative,0
Seto no Hanayome,positive,2
Serial Experiments Lain,positive,2
Azumanga Daioh,neutral,1
Canaan,positive,2
Rosario to Vampire Capu2,positive,2
Naruto,neutral,1
Kyoukai no Kanata: Mini Theater,positive,2
Mizugi Kanojo: The Animation,positive,2
Shingeki no Kyojin OVA,positive,2
Arete Hime,positive,2
11eyes,positive,2
Kamichama Karin,positive,2
Handa-kun,negative,0
Kore wa Zombie Desu ka?,positive,2
Hotarubi no Mori e,positive,2
Tsuritama,positive,2
Ano Natsu de Matteru,negative,0
Kami nomi zo Shiru Sekai,positive,2
D.C.S.S: Da Capo Second Season,negative,0
Sora no Otoshimono: Tokeijikake no Angeloid,positive,2
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,positive,2
Rosario to Vampire,neutral,1
Gunparade March: Arata Naru Kougunka,positive,2
High School DxD BorN: Yomigaeranai Fushichou,negative,0
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,positive,2
Kaichou wa Maid-sama!,positive,2
Nabari no Ou,negative,0
"High School DxD New: Oppai, Tsutsumimasu!",positive,2
Nodame Cantabile,negative,0
K-On!: Live House!,neutral,1
Akira,positive,2
Psycho-Pass 2,neutral,1
Bakuman. 2nd Season,positive,2
School Rumble,positive,2
Super Seisyun Brothers,positive,2
Hetalia Axis Powers,neutral,1
Nurarihyon no Mago,negative,0
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,positive,2
Gin no Saji,positive,2
Mouretsu Pirates,positive,2
Date A Live II,positive,2
Sword Art Online,positive,2
Mirai Nikki (TV),negative,0
Trinity Blood,positive,2
Miss Monochrome: Watashi dake no Monogatari,neutral,1
Rosario to Vampire,negative,0
Pokemon: Mewtwo! Ware wa Koko ni Ari,positive,2
Seto no Hanayome,positive,2
Mimi wo Sumaseba,neutral,1
Taimadou Gakuen 35 Shiken Shoutai,neutral,1
Durarara!!,positive,2
SoniAni: Super Sonico The Animation,positive,2
Junjou Romantica,negative,0
Final Fantasy VII: Last Order,positive,2
Evangelion: 2.0 You Can (Not) Advance,positive,2
Mobile Police Patlabor: MiniPato,positive,2
Solty Rei,neutral,1
Kodomo no Jikan,positive,2
Toki wo Kakeru Shoujo,positive,2
Zero no Tsukaima: Futatsuki no Kishi,positive,2
Death Note,positive,2
Sword Art Online,negative,0
Fullmetal Alchemist: Brotherhood,negative,0
Onegai☆Teacher: Himitsu na Futari,positive,2
Kokoro Connect,negative,0
Vampire Knight,negative,0
Vampire Knight,positive,2
Tasogare Otome x Amnesia,positive,2
Shingeki no Kyojin,positive,2
Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,positive,2
Shingeki no Kyojin,positive,2
ef: A Tale of Melodies.,positive,2
Working!!,positive,2
Nisemonogatari,positive,2
Mob Psycho 100,positive,2
Highschool of the Dead,positive,2
Karneval (TV),negative,0
Blood Lad: Wagahai wa Neko de wa Nai,negative,0
Aki-Sora,neutral,1
Bishoujo Senshi Sailor Moon,negative,0
Hataraku Maou-sama!,positive,2
"Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito",positive,2
"Wake Up, Girls!",neutral,1
Haiyore! Nyaruko-san W,negative,0
"Iriya no Sora, UFO no Natsu",positive,2
Katekyo Hitman Reborn!,negative,0
Giant Killing,positive,2
Mushishi,positive,2
Darker than Black: Ryuusei no Gemini,positive,2
Kore wa Zombie Desu ka? of the Dead OVA,positive,2
K-On!,positive,2
Bakuman. 3rd Season,positive,2
Full Metal Panic? Fumoffu,positive,2
Soul Eater,positive,2
Chrome Shelled Regios,positive,2
Pokemon: Pikachu Koori no Daibouken,neutral,1
Shakugan no Shana III (Final) Specials,negative,0
Pokemon Crystal: Raikou Ikazuchi no Densetsu,positive,2
Shijou Saikyou no Deshi Kenichi,positive,2
Zero no Tsukaima,negative,0
Ghost Hunt,negative,0
Blade &amp; Soul,negative,0
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,positive,2
Deadman Wonderland,positive,2
Beautiful World,positive,2
Maoyuu Maou Yuusha,positive,2
Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,positive,2
Kuroshitsuji II,positive,2
Fate/Zero,positive,2
Bakuman. 3rd Season,positive,2
Shakugan no Shana II (Second),negative,0
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,negative,0
IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,neutral,1
Yobai Suru Shichinin no Harame,negative,0
Medaka Box,neutral,1
Shugo Chara!,positive,2
Yomigaeru Sora: Rescue Wings,positive,2
Devil May Cry,neutral,1
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,positive,2
Log Horizon 2nd Season,positive,2
Gintama: Dai Hanseikai,positive,2
Ga-Rei: Zero,negative,0
Fullmetal Alchemist: The Sacred Star of Milos,positive,2
Oda Nobuna no Yabou,negative,0
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,positive,2
Chobits: Chibits,negative,0
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,positive,2
Itsuka Tenma no Kuro Usagi,negative,0
Mob Psycho 100,positive,2
Digimon Adventure tri. 1: Saikai,positive,2
Mobile Suit Gundam Wing,neutral,1
Sonic: Night of the WereHog,positive,2
Tengen Toppa Gurren Lagann: Parallel Works 2,positive,2
Usagi Drop,neutral,1
Soredemo Sekai wa Utsukushii,positive,2
A-Channel,positive,2
Kannagi,negative,0
Juuou Mujin no Fafnir,negative,0
Fullmetal Alchemist,positive,2
InuYasha: Guren no Houraijima,positive,2
Accel World,positive,2
Tokyo Ghoul √A,positive,2
Dragon Ball Z,positive,2
Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,positive,2
Code Geass: Hangyaku no Lelouch Recaps,positive,2
Himouto! Umaru-chan,positive,2
Full Moon wo Sagashite,positive,2
Durarara!!,positive,2
Kara no Kyoukai 1: Fukan Fuukei,positive,2
Dr. Slump,negative,0
Final Fantasy VII: Advent Children,negative,0
Tenkuu no Shiro Laputa,positive,2
High School DxD New,negative,0
The Last: Naruto the Movie,positive,2
Blood-C: The Last Dark,negative,0
Captain Tsubasa: Road to 2002,positive,2
Akagami no Shirayuki-hime,positive,2
Rokujouma no Shinryakusha!? (TV),positive,2
Noragami,positive,2
Zankyou no Terror,negative,0
Usavich III,positive,2
R-15,positive,2
Kara no Kyoukai 3: Tsuukaku Zanryuu,positive,2
RahXephon: Pluralitas Concentio,positive,2
Toaru Majutsu no Index,positive,2
To Heart 2 AD,negative,0
Baka to Test to Shoukanjuu,neutral,1
Higashi no Eden,positive,2
Arcana Famiglia,positive,2
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",negative,0
ef: A Tale of Melodies.,positive,2
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,positive,2
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",positive,2
Kokoro Connect: Michi Random,positive,2
One Piece: Straw Hat Theater,positive,2
Working!!,positive,2
Ojisan to Marshmallow Special,negative,0
Clannad: After Story,positive,2
Macross F,negative,0
Brave Story,positive,2
Kore wa Zombie Desu ka? OVA,positive,2
Sen to Chihiro no Kamikakushi,positive,2
Kore wa Zombie Desu ka? of the Dead,neutral,1
Love Live! School Idol Project,positive,2
Kurokami The Animation,positive,2
Vividred Operation,positive,2
Noragami,neutral,1
Ore no Imouto ga Konnani Kawaii Wake ga Nai,positive,2
Bokusatsu Tenshi Dokuro-chan 2,positive,2
IS: Infinite Stratos,positive,2
Free!,negative,0
Danna ga Nani wo Itteiru ka Wakaranai Ken,positive,2
Kiseijuu: Sei no Kakuritsu,positive,2
Death Billiards,negative,0
Vandread: The Second Stage,positive,2
Berserk,positive,2
Death Note Rewrite,negative,0
Full Metal Panic!,negative,0
Bartender,negative,0
Tengen Toppa Gurren Lagann,negative,0
Naruto: Shippuuden Movie 5 - Blood Prison,negative,0
Mimi wo Sumaseba,positive,2
Date A Live,positive,2
Yuyushiki,positive,2
Pokemon: Celebi Toki wo Koeta Deai,neutral,1
Lupin III: Cagliostro no Shiro,negative,0
Neko no Ongaeshi,positive,2
Kuuchuu Buranko,negative,0
Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,positive,2
Wolf&#039;s Rain,positive,2
Beck,negative,0
Wakako-zake,negative,0
DNA²,positive,2
Mononoke Hime,negative,0
Claymore,positive,2
Senran Kagura,neutral,1
Lupin III vs. Detective Conan,positive,2
Mononoke Hime,positive,2
Kyoukai no Kanata,positive,2
Green Green,positive,2
Hakushaku to Yousei,negative,0
Fullmetal Alchemist,positive,2
Death Note,positive,2
Ghost in the Shell 2: Innocence,positive,2
"Yondemasu yo, Azazel-san. (TV)",positive,2
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,positive,2
Black★Rock Shooter (OVA),neutral,1
Highschool of the Dead,neutral,1
Baccano! Specials,positive,2
Nisekoi,neutral,1
Mob Psycho 100,negative,0
Ookami-san to Shichinin no Nakama-tachi,positive,2
Ai Yori Aoshi: Enishi,positive,2
Kuroshitsuji II Specials,positive,2
Kara no Kyoukai: Shuushou,neutral,1
Yamato Nadeshiko Shichihenge♥,positive,2
Mizu no Kotoba,negative,0
Trigun,positive,2
Ghost Hunt,negative,0
Neo Angelique Abyss,positive,2
Free!: Eternal Summer,positive,2
Another,positive,2
Kanojo to Kanojo no Neko,negative,0
Gintama: Dai Hanseikai,positive,2
Boku wa Tomodachi ga Sukunai Episode 0,neutral,1
Steins;Gate: Oukoubakko no Poriomania,positive,2
Digimon Adventure 02,positive,2
Gyakkyou Burai Kaiji: Ultimate Survivor,positive,2
Death Note Rewrite,negative,0
Bakuon!!,neutral,1
Yu☆Gi☆Oh!: Hikari no Pyramid,neutral,1
Hal,positive,2
Amaenaide yo!! Katsu!!,positive,2
Akatsuki no Yona,positive,2
.hack//Sign,positive,2
Nodame Cantabile: Paris-hen,positive,2
Koi Kaze,neutral,1
Highschool of the Dead: Drifters of the Dead,positive,2
Kore wa Zombie Desu ka? OVA,positive,2
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,neutral,1
Ga-Rei: Zero,positive,2
Seto no Hanayome,negative,0
Baka to Test to Shoukanjuu Ni!,negative,0
Panty &amp; Stocking with Garterbelt,neutral,1
B Gata H Kei,negative,0
Ghost in the Shell,positive,2
Code Geass: Hangyaku no Lelouch R2,positive,2
Sword Art Online,negative,0
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,positive,2
Glasslip,negative,0
Toradora!,negative,0
Pokemon: Pikachu no Fuyuyasumi,negative,0
Seihou Bukyou Outlaw Star,negative,0
Gedo Senki,positive,2
ReLIFE,neutral,1
Pandora Hearts,positive,2
Sen to Chihiro no Kamikakushi,positive,2
Katekyo Hitman Reborn!,positive,2
Ixion Saga DT,negative,0
Mahou Shoujo Madoka★Magica,positive,2
Tokyo Ghoul,positive,2
Durarara!!x2 Shou,positive,2
xxxHOLiC Shunmuki,negative,0
Kill la Kill,positive,2
Dragon Ball Kai,negative,0
El Hazard 2: The Magnificent World,positive,2
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,positive,2
Stranger: Mukou Hadan,negative,0
Vampire Knight,negative,0
Magi: The Kingdom of Magic,positive,2
R-15,positive,2
Princess Tutu Recaps,positive,2
Tonari no Kaibutsu-kun,neutral,1
Jinrui wa Suitai Shimashita,positive,2
Utawarerumono,positive,2
Afro Samurai,negative,0
Fate/Zero 2nd Season,positive,2
Fullmetal Alchemist,positive,2
Ranma ½ Specials,negative,0
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,neutral,1
Clannad,positive,2
Ao Haru Ride,positive,2
Mazinkaiser: Shitou! Ankoku Dai Shogun,positive,2
Steins;Gate,negative,0
One Piece: Yume no Soccer Ou!,negative,0
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,positive,2
Hunter x Hunter OVA,negative,0
Blood: The Last Vampire,positive,2
Guilty Crown,positive,2
Osomatsu-san,positive,2
Clannad Movie,positive,2
Ajin,positive,2
Boku wa Tomodachi ga Sukunai Episode 0,positive,2
Kimi ni Todoke,positive,2
Bishoujo Senshi Sailor Moon SuperS,negative,0
Code Geass: Hangyaku no Lelouch,negative,0
Durarara!!x2 Ketsu,negative,0
Mobile Suit Gundam Unicorn,positive,2
Armitage III,positive,2
Zombie-Loan,positive,2
Girls und Panzer,negative,0
Gangsta.,positive,2
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",positive,2
Hunter x Hunter (2011),negative,0
Kami nomi zo Shiru Sekai: Flag 0,neutral,1
Chuunibyou demo Koi ga Shitai! Ren Lite,positive,2
Itsuka Tenma no Kuro Usagi,neutral,1
Ghost in the Shell: Stand Alone Complex,neutral,1
Elfen Lied,positive,2
Owari no Seraph,neutral,1
B Gata H Kei,positive,2
Kuroshitsuji,positive,2
InuYasha: Toki wo Koeru Omoi,neutral,1
Nagi no Asukara,positive,2
"Ore, Twintail ni Narimasu.",neutral,1
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,positive,2
Pokemon: Pikachu no Fuyuyasumi,neutral,1
Lucky☆Star,positive,2
Noragami,negative,0
Monochrome Factor,neutral,1
Shugo Chara!,positive,2
The Last: Naruto the Movie,positive,2
Nurarihyon no Mago,neutral,1
Nabari no Ou,negative,0
Seitokai Yakuindomo,neutral,1
Noragami,negative,0
Seihou Bukyou Outlaw Star,positive,2
Toradora!,neutral,1
Boku wa Tomodachi ga Sukunai,positive,2
Ame-iro Cocoa,neutral,1
Berserk,positive,2
Ookami-san to Shichinin no Nakama-tachi,positive,2
Cardcaptor Sakura,negative,0
Hellsing Ultimate,positive,2
Okusama ga Seitokaichou!,positive,2
Kiseijuu: Sei no Kakuritsu,negative,0
Plastic Memories,positive,2
Tsubasa: Tokyo Revelations,positive,2
Angel Beats! Specials,negative,0
InuYasha: Kagami no Naka no Mugenjo,neutral,1
Hataraku Maou-sama!,positive,2
Tiger &amp; Bunny,neutral,1
Medarot,positive,2
Saishuu Heiki Kanojo,positive,2
Hellsing Ultimate,positive,2
Fullmetal Alchemist: Reflections,positive,2
Shigatsu wa Kimi no Uso,positive,2
Darker than Black: Kuro no Keiyakusha,positive,2
Durarara!!,positive,2
Code:Breaker,negative,0
Full Metal Panic!,neutral,1
Hyouka,positive,2
Shigatsu wa Kimi no Uso,positive,2
Chrno Crusade,positive,2
Hellsing Ultimate,positive,2
Ben-To,neutral,1
Carnival Phantasm: Illya-jou,neutral,1
Kaiba,positive,2
Cross Ange: Tenshi to Ryuu no Rondo,positive,2
Prison School,negative,0
Aria The Origination,positive,2
Umineko no Naku Koro ni,negative,0
Ore wa Kanojo wo Shinjiteru!,positive,2
Sister Princess,negative,0
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,negative,0
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,positive,2
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,positive,2
Fortune Arterial: Akai Yakusoku,positive,2
Tengen Toppa Gurren Lagann,positive,2
Maoyuu Maou Yuusha,neutral,1
Kamichu!,negative,0
Kobato.,positive,2
Sengoku Basara Two,positive,2
Sword Art Online,negative,0
Karin,neutral,1
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,neutral,1
Boku wa Tomodachi ga Sukunai,negative,0
Kamikaze Kaitou Jeanne,negative,0
Freezing Vibration,positive,2
Gekkan Shoujo Nozaki-kun,positive,2
Kimi ga Nozomu Eien,positive,2
Rail Wars!,positive,2
Akame ga Kill!,positive,2
Brave 10,neutral,1
Death Note,positive,2
Appleseed,positive,2
Queen&#039;s Blade: Rebellion,positive,2
Mahou Shoujo Madoka★Magica,negative,0
Highschool of the Dead,positive,2
Toradora!: Bentou no Gokui,positive,2
Generation of Chaos III: Toki no Fuuin,neutral,1
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,negative,0
Overlord,neutral,1
Sword Art Online II,positive,2
Vampire Knight,positive,2
Code Geass: Hangyaku no Lelouch Picture Drama,positive,2
Lovedol: Lovely Idol,negative,0
Angel Beats!,positive,2
Deadman Wonderland,negative,0
Sora wo Kakeru Shoujo,positive,2
Maoyuu Maou Yuusha,positive,2
Psycho-Pass,positive,2
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,positive,2
Glasslip,neutral,1
Hajime no Ippo: Rising,positive,2
Rec,negative,0
Toki wo Kakeru Shoujo,positive,2
Saenai Heroine no Sodatekata: Ai to Seishun no Service Kai,positive,2
Bleach: The Sealed Sword Frenzy,positive,2
Monogatari Series: Second Season,positive,2
Kobato.: Hajimete no Kobato.,positive,2
Howl no Ugoku Shiro,positive,2
Binbougami ga!,positive,2
Code Geass: Hangyaku no Lelouch,positive,2
Cardcaptor Sakura Movie 1,positive,2
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,positive,2
Toaru Majutsu no Index,positive,2
Otome wa Boku ni Koishiteru,positive,2
